"","country","mask_percent","date","fear_percent","continent","new_deaths","new_deaths_smoothed_per_million","new_deaths_per_million","total_deaths_per_million"
"711","Spain",85,2021-06-16,36,"Europe",36,0.865,0.77,1724.562
"712","Spain",84,2021-06-23,39,"Europe",29,0.406,0.62,1727.407
"713","Spain",84,2021-07-02,37,"Europe",28,0.403,0.599,1730.894
"714","Spain",86,2021-07-09,36,"Europe",6,0.281,0.128,1732.862
"715","Spain",84,2021-07-19,35,"Europe",23,0.303,0.492,1735.344
"716","Spain",85,2021-07-22,38,"Europe",28,0.336,0.599,1736.948
"717","Spain",82,2021-07-27,40,"Europe",55,0.535,1.177,1739.708
"718","Spain",84,2021-08-03,40,"Europe",130,1.375,2.781,1749.334
"719","Spain",85,2021-08-10,34,"Europe",102,1.387,2.182,1759.047
"720","Spain",84,2021-08-19,35,"Europe",121,1.824,2.589,1775.669
"721","Spain",83,2021-08-26,36,"Europe",171,2.619,3.658,1794.002
"722","Spain",84,2021-09-02,36,"Europe",168,2.381,3.594,1810.667
"723","Spain",83,2021-09-07,38,"Europe",138,2.219,2.952,1819.78
"724","Spain",82,2021-09-14,37,"Europe",155,1.473,3.316,1830.091
"725","Spain",84,2021-09-23,29,"Europe",100,1.363,2.139,1843.718
"726","Spain",79,2021-09-30,35,"Europe",18,0.703,0.385,1848.639
"727","Spain",83,2021-10-05,30,"Europe",94,0.804,2.011,1853.045
"728","Spain",84,2021-10-14,32,"Europe",48,0.66,1.027,1859.378
"729","Sweden",1,2020-03-16,30,"Europe",1,0.112,0.098,0.787
"730","Sweden",1,2020-03-23,30,"Europe",21,1.026,2.067,7.972
"731","Sweden",1,2020-03-29,31,"Europe",45,3.15,4.429,27.952
"732","Sweden",1,2020-04-05,47,"Europe",28,1.645,2.756,39.468
"733","Sweden",10,2020-04-12,53,"Europe",12,7.002,1.181,88.483
"734","Sweden",6,2020-04-19,46,"Europe",29,9.013,2.854,151.572
"735","Sweden",4,2020-04-26,47,"Europe",2,9.196,0.197,215.942
"736","Sweden",2,2020-05-03,50,"Europe",10,6.819,0.984,263.677
"737","Sweden",4,2020-05-25,44,"Europe",31,4.654,3.051,396.549
"738","Sweden",5,2020-06-09,44,"Europe",23,3.501,2.264,464.264
"739","Sweden",6,2020-06-16,45,"Europe",48,3.121,4.724,486.114
"740","Sweden",8,2020-09-11,39,"Europe",3,0.155,0.295,575.385
"741","Sweden",7,2020-09-23,38,"Europe",11,0.225,1.083,578.337
"742","Sweden",9,2020-10-09,41,"Europe",2,-0.014,0.197,580.109
"743","Sweden",9,2020-11-03,50,"Europe",0,0.07,0,584.44
"744","Sweden",16,2020-12-02,50,"Europe",291,5.863,28.641,686.21
"745","Sweden",29,2021-01-15,51,"Europe",138,12.514,13.582,1016.027
"746","Sweden",32,2021-02-01,48,"Europe",0,8.239,0,1140.829
"747","Sweden",35,2021-02-26,46,"Europe",28,2.489,2.756,1262.382
"748","Sweden",37,2021-03-12,45,"Europe",35,2.011,3.445,1293.877
"749","Sweden",36,2021-03-24,44,"Europe",42,1.814,4.134,1314.645
"750","Sweden",43,2021-04-08,44,"Europe",17,1.364,1.673,1338.07
"751","Sweden",43,2021-05-07,45,"Europe",15,1.758,1.476,1394.958
"752","Sweden",36,2021-06-07,39,"Europe",0,1.012,0,1429.407
"753","Sweden",32,2021-06-18,26,"Europe",0,0,0,1434.426
"754","Sweden",30,2021-06-30,27,"Europe",3,0.183,0.295,1439.84
"755","Sweden",23,2021-07-16,27,"Europe",3,0.042,0.295,1441.513
"756","Sweden",23,2021-08-13,25,"Europe",0,0.014,0,1442.694
"757","Sweden",21,2021-08-25,26,"Europe",4,0.169,0.394,1444.269
"758","Sweden",23,2021-09-08,26,"Europe",1,0.112,0.098,1446.828
"759","Sweden",19,2021-09-23,22,"Europe",4,0.844,0.394,1457.95
"760","Sweden",19,2021-10-06,26,"Europe",13,0.464,1.28,1465.43
"761","Taiwan",84,2020-02-25,59,"Asia",0,0,0,0.042
"762","Taiwan",85,2020-03-03,58,"Asia",0,0,0,0.042
"763","Taiwan",84,2020-03-10,60,"Asia",0,0,0,0.042
"764","Taiwan",80,2020-03-17,63,"Asia",0,0,0,0.042
"765","Taiwan",87,2020-03-24,63,"Asia",0,0.006,0,0.084
"766","Taiwan",87,2020-03-31,68,"Asia",0,0.018,0,0.21
"767","Taiwan",89,2020-04-07,72,"Asia",0,0,0,0.21
"768","Taiwan",89,2020-04-14,70,"Asia",0,0.006,0,0.252
"769","Taiwan",88,2020-04-21,68,"Asia",0,0,0,0.252
"770","Taiwan",88,2020-04-28,68,"Asia",0,0,0,0.252
"771","Taiwan",87,2020-05-05,65,"Asia",0,0,0,0.252
"772","Taiwan",86,2020-05-25,58,"Asia",0,0,0,0.293
"773","Taiwan",81,2020-06-08,49,"Asia",0,0,0,0.293
"774","Taiwan",85,2020-06-22,52,"Asia",0,0,0,0.293
"775","Taiwan",81,2020-07-06,52,"Asia",0,0,0,0.293
"776","Taiwan",80,2020-07-20,51,"Asia",0,0,0,0.293
"777","Taiwan",81,2020-08-03,55,"Asia",0,0,0,0.293
"778","Taiwan",84,2020-08-17,54,"Asia",0,0,0,0.293
"779","Taiwan",83,2020-08-31,54,"Asia",0,0,0,0.293
"780","Taiwan",85,2020-09-14,53,"Asia",0,0,0,0.293
"781","Taiwan",85,2020-09-28,54,"Asia",0,0,0,0.293
"782","Taiwan",82,2020-10-12,52,"Asia",0,0,0,0.293
"783","Taiwan",86,2020-10-27,57,"Asia",0,0,0,0.293
"784","Taiwan",82,2020-11-09,52,"Asia",0,0,0,0.293
"785","Taiwan",84,2020-11-24,55,"Asia",0,0,0,0.293
"786","Taiwan",83,2020-12-07,51,"Asia",0,0,0,0.293
"787","Taiwan",87,2020-12-21,56,"Asia",0,0,0,0.293
"788","Taiwan",87,2021-01-04,60,"Asia",0,0,0,0.293
"789","Taiwan",78,2021-01-18,55,"Asia",0,0,0,0.293
"790","Taiwan",81,2021-02-01,60,"Asia",0,0.006,0,0.335
"791","Taiwan",79,2021-02-16,55,"Asia",0,0,0,0.377
"792","Taiwan",87,2021-03-02,54,"Asia",0,0,0,0.377
"793","Taiwan",84,2021-03-22,55,"Asia",0,0,0,0.419
"794","Taiwan",88,2021-07-29,63,"Asia",0,0.03,0,32.991
"795","Taiwan",87,2021-08-12,61,"Asia",1,0.156,0.042,34.249
"796","Taiwan",86,2021-08-26,61,"Asia",2,0.036,0.084,34.877
"797","Taiwan",83,2021-09-13,62,"Asia",0,0.012,0,35.171
"798","Taiwan",82,2021-09-27,59,"Asia",1,0.012,0.042,35.297
"799","Taiwan",87,2021-10-11,56,"Asia",0,0.012,0,35.464
"800","Thailand",74,2020-03-02,76,"Asia",0,0.002,0,0.014
"801","Thailand",73,2020-03-09,82,"Asia",0,0,0,0.014
"802","Thailand",71,2020-03-16,77,"Asia",0,0,0,0.014
"803","Thailand",80,2020-03-23,80,"Asia",0,0,0,0.014
"804","Thailand",89,2020-03-30,82,"Asia",2,0.016,0.029,0.129
"805","Thailand",86,2020-04-06,81,"Asia",3,0.035,0.043,0.372
"806","Thailand",90,2020-04-13,81,"Asia",2,0.029,0.029,0.572
"807","Thailand",90,2020-04-20,79,"Asia",0,0.014,0,0.672
"808","Thailand",88,2020-04-27,77,"Asia",1,0.01,0.014,0.743
"809","Thailand",87,2020-05-04,76,"Asia",0,0.004,0,0.772
"810","Thailand",86,2020-05-25,71,"Asia",1,0.002,0.014,0.815
"811","Thailand",84,2020-06-08,70,"Asia",0,0.002,0,0.829
"812","Thailand",84,2020-06-22,69,"Asia",0,0,0,0.829
"813","Thailand",83,2020-07-06,65,"Asia",0,0,0,0.829
"814","Thailand",88,2020-07-20,70,"Asia",0,0,0,0.829
"815","Thailand",84,2020-08-03,63,"Asia",0,0,0,0.829
"816","Thailand",83,2020-08-17,64,"Asia",0,0,0,0.829
"817","Thailand",77,2020-08-31,61,"Asia",0,0,0,0.829
"818","Thailand",76,2020-09-14,59,"Asia",0,0,0,0.829
"819","Thailand",78,2020-09-28,60,"Asia",0,0,0,0.843
"820","Thailand",81,2020-10-12,63,"Asia",0,0,0,0.843
"821","Thailand",82,2020-10-26,64,"Asia",0,0,0,0.843
"822","Thailand",82,2020-11-09,61,"Asia",0,0.002,0,0.858
"823","Thailand",86,2020-11-23,64,"Asia",0,0,0,0.858
"824","Thailand",83,2020-12-07,70,"Asia",0,0,0,0.858
"825","Thailand",84,2020-12-21,71,"Asia",0,0,0,0.858
"826","Thailand",85,2021-01-04,76,"Asia",0,0.008,0,0.929
"827","Thailand",87,2021-01-18,76,"Asia",0,0.006,0,1.001
"828","Thailand",86,2021-02-01,72,"Asia",2,0.008,0.029,1.129
"829","Thailand",83,2021-02-16,69,"Asia",0,0.006,0,1.172
"830","Thailand",83,2021-03-01,69,"Asia",0,0,0,1.187
"831","Thailand",81,2021-03-15,62,"Asia",0,0.004,0,1.244
"832","Thailand",82,2021-03-29,67,"Asia",0,0.006,0,1.344
"833","Thailand",84,2021-04-12,76,"Asia",0,0.004,0,1.387
"834","Thailand",86,2021-04-26,80,"Asia",8,0.09,0.114,2.116
"835","Thailand",87,2021-05-10,80,"Asia",22,0.296,0.315,6.019
"836","Thailand",85,2021-05-24,79,"Asia",30,0.392,0.429,11.522
"837","Thailand",85,2021-06-07,75,"Asia",33,0.486,0.472,18.141
"838","Thailand",84,2021-06-21,75,"Asia",29,0.392,0.415,23.702
"839","Thailand",87,2021-07-05,82,"Asia",50,0.698,0.715,32.537
"840","Thailand",84,2021-07-19,81,"Asia",81,1.289,1.158,48.92
"841","Thailand",85,2021-07-29,85,"Asia",165,1.767,2.359,65.217
"842","Thailand",84,2021-08-12,81,"Asia",147,2.612,2.101,99.241
"843","Thailand",84,2021-08-26,78,"Asia",229,3.529,3.274,147.446
"844","Thailand",87,2021-09-14,78,"Asia",136,2.733,1.944,209.018
"845","Thailand",84,2021-09-23,76,"Asia",131,1.901,1.873,227.074
"846","Thailand",84,2021-10-07,74,"Asia",0,1.411,0,249.003
"847","United Arab Emirates",44,2020-03-25,66,"Asia",0,0.029,0,0.2
"848","United Arab Emirates",63,2020-04-01,72,"Asia",2,0.086,0.2,0.801
"849","United Arab Emirates",54,2020-04-07,68,"Asia",1,0.086,0.1,1.201
"850","United Arab Emirates",79,2020-04-14,72,"Asia",3,0.229,0.3,2.802
"851","United Arab Emirates",80,2020-04-22,73,"Asia",6,0.272,0.601,5.205
"852","United Arab Emirates",78,2020-04-29,73,"Asia",9,0.658,0.901,9.809
"853","United Arab Emirates",80,2020-05-04,70,"Asia",11,0.786,1.101,13.712
"854","United Arab Emirates",81,2020-06-03,63,"Asia",1,0.214,0.1,27.024
"855","United Arab Emirates",79,2020-06-10,63,"Asia",1,0.2,0.1,28.425
"856","United Arab Emirates",80,2020-06-17,63,"Asia",2,0.157,0.2,29.526
"857","United Arab Emirates",79,2020-07-05,64,"Asia",2,0.143,0.2,32.329
"858","United Arab Emirates",81,2020-07-13,65,"Asia",1,0.143,0.1,33.43
"859","United Arab Emirates",80,2020-07-21,61,"Asia",1,0.086,0.1,34.13
"860","United Arab Emirates",79,2020-07-29,62,"Asia",0,0.071,0,34.731
"861","United Arab Emirates",77,2020-08-11,60,"Asia",1,0.1,0.1,35.832
"862","United Arab Emirates",75,2020-08-24,61,"Asia",1,0.172,0.1,37.634
"863","United Arab Emirates",76,2020-09-30,58,"Asia",3,0.186,0.3,41.937
"864","United Arab Emirates",78,2020-10-07,61,"Asia",1,0.243,0.1,43.639
"865","United Arab Emirates",77,2020-10-14,61,"Asia",2,0.2,0.2,45.04
"866","United Arab Emirates",76,2020-11-02,57,"Asia",1,0.243,0.1,49.744
"867","United Arab Emirates",76,2020-11-11,58,"Asia",2,0.214,0.2,52.046
"868","United Arab Emirates",78,2020-11-30,61,"Asia",2,0.257,0.2,57.251
"869","United Arab Emirates",79,2020-12-16,60,"Asia",4,0.4,0.4,62.656
"870","United Arab Emirates",75,2020-12-23,62,"Asia",3,0.272,0.3,64.558
"871","United Arab Emirates",77,2020-12-29,61,"Asia",2,0.286,0.2,66.259
"872","United Arab Emirates",78,2021-01-05,65,"Asia",3,0.329,0.3,68.561
"873","United Arab Emirates",74,2021-01-13,60,"Asia",6,0.486,0.601,72.365
"874","United Arab Emirates",73,2021-02-01,59,"Asia",9,0.872,0.901,85.977
"875","United Arab Emirates",74,2021-02-14,67,"Asia",13,1.33,1.301,101.49
"876","United Arab Emirates",74,2021-03-16,53,"Asia",4,0.872,0.4,140.725
"877","United Arab Emirates",75,2021-04-21,59,"Asia",2,0.286,0.2,156.239
"878","United Arab Emirates",75,2021-04-27,58,"Asia",5,0.272,0.5,157.941
"879","United Arab Emirates",68,2021-05-17,54,"Asia",2,0.257,0.2,163.446
"880","United Arab Emirates",74,2021-05-24,59,"Asia",3,0.3,0.3,165.548
"881","United Arab Emirates",71,2021-05-31,54,"Asia",3,0.372,0.3,168.15
"882","United Arab Emirates",70,2021-06-15,56,"Asia",4,0.429,0.4,173.555
"883","United Arab Emirates",69,2021-07-13,54,"Asia",6,0.472,0.601,187.767
"884","United Arab Emirates",73,2021-08-02,55,"Asia",5,0.415,0.5,195.775
"885","United Arab Emirates",68,2021-08-10,55,"Asia",4,0.315,0.4,198.377
"886","United Arab Emirates",68,2021-08-22,52,"Asia",2,0.272,0.2,202.18
"887","United Arab Emirates",70,2021-08-30,55,"Asia",1,0.214,0.1,204.082
"888","United Arab Emirates",69,2021-09-06,56,"Asia",2,0.129,0.2,204.983
"889","United Arab Emirates",68,2021-09-14,46,"Asia",2,0.229,0.2,206.784
"890","United Arab Emirates",70,2021-09-27,52,"Asia",4,0.243,0.4,209.587
"891","United Arab Emirates",69,2021-10-04,47,"Asia",1,0.129,0.1,210.488
"892","United Arab Emirates",68,2021-10-11,46,"Asia",1,0.157,0.1,211.589
"893","United Arab Emirates",66,2021-10-25,47,"Asia",1,0.157,0.1,213.29
"894","United Kingdom",1,2020-03-13,38,"Europe",1,0.019,0.015,0.147
"895","United Kingdom",2,2020-03-20,48,"Europe",32,0.39,0.469,2.874
"896","United Kingdom",6,2020-03-27,61,"Europe",288,2.048,4.222,17.212
"897","United Kingdom",7,2020-04-03,56,"Europe",737,7.016,10.805,66.327
"898","United Kingdom",10,2020-04-14,60,"Europe",1080,13.777,15.834,207.236
"899","United Kingdom",11,2020-04-17,56,"Europe",914,12.868,13.4,248.845
"900","United Kingdom",13,2020-04-24,54,"Europe",1018,12.357,14.925,335.346
"901","United Kingdom",13,2020-05-01,55,"Europe",700,9.595,10.263,402.509
"902","United Kingdom",18,2020-05-15,50,"Europe",351,5.125,5.146,490.008
"903","United Kingdom",20,2020-05-21,53,"Europe",273,4.352,4.003,515.327
"904","United Kingdom",21,2020-05-30,48,"Europe",154,3.785,2.258,549.312
"905","United Kingdom",21,2020-06-05,47,"Europe",258,2.497,3.783,564.531
"906","United Kingdom",27,2020-06-16,48,"Europe",120,1.37,1.759,580.585
"907","United Kingdom",31,2020-06-25,45,"Europe",99,1.003,1.451,590.202
"908","United Kingdom",36,2020-07-03,48,"Europe",49,0.697,0.718,596.213
"909","United Kingdom",38,2020-07-12,48,"Europe",9,0.446,0.132,600.084
"910","United Kingdom",57,2020-07-26,44,"Europe",8,0.243,0.117,603.984
"911","United Kingdom",69,2020-07-31,49,"Europe",20,0.212,0.293,605.127
"912","United Kingdom",75,2020-08-12,48,"Europe",20,0.186,0.293,607.18
"913","United Kingdom",74,2020-08-25,44,"Europe",16,0.145,0.235,608.954
"914","United Kingdom",71,2020-09-08,47,"Europe",32,0.174,0.469,611.007
"915","United Kingdom",76,2020-09-16,51,"Europe",20,0.189,0.293,612.443
"916","United Kingdom",76,2020-09-29,52,"Europe",72,0.519,1.056,618.147
"917","United Kingdom",76,2020-10-07,49,"Europe",70,0.779,1.026,624.642
"918","United Kingdom",74,2020-10-22,51,"Europe",189,2.208,2.771,651.501
"919","United Kingdom",75,2020-11-18,50,"Europe",529,6.097,7.756,782.44
"920","United Kingdom",74,2020-11-26,49,"Europe",498,6.824,7.301,837.567
"921","United Kingdom",76,2020-12-04,49,"Europe",504,6.422,7.389,890.142
"922","United Kingdom",77,2020-12-15,53,"Europe",506,6.024,7.419,953.068
"923","United Kingdom",70,2021-01-05,53,"Europe",881,9.955,12.917,1120.528
"924","United Kingdom",76,2021-01-19,52,"Europe",1612,17.386,23.634,1343.599
"925","United Kingdom",74,2021-01-29,56,"Europe",1248,17.606,18.297,1533.154
"926","United Kingdom",77,2021-02-11,51,"Europe",680,11.071,9.97,1697.008
"927","United Kingdom",74,2021-02-22,47,"Europe",178,7.05,2.61,1773.833
"928","United Kingdom",75,2021-03-09,45,"Europe",231,3.146,3.387,1833.123
"929","United Kingdom",71,2021-03-21,45,"Europe",34,1.34,0.498,1853.076
"930","United Kingdom",73,2021-04-09,40,"Europe",60,0.473,0.88,1866.14
"931","United Kingdom",73,2021-04-20,39,"Europe",33,0.394,0.484,1870.142
"932","United Kingdom",71,2021-05-07,33,"Europe",15,0.174,0.22,1874.555
"933","United Kingdom",74,2021-05-20,35,"Europe",7,0.107,0.103,1876.095
"934","United Kingdom",73,2021-06-02,38,"Europe",12,0.098,0.176,1877.473
"935","United Kingdom",71,2021-06-25,37,"Europe",18,0.23,0.264,1881.475
"936","United Kingdom",71,2021-07-16,42,"Europe",49,0.591,0.718,1890.023
"937","United Kingdom",69,2021-07-22,42,"Europe",84,0.842,1.232,1895.198
"938","United Kingdom",63,2021-07-30,41,"Europe",68,1.146,0.997,1904.156
"939","United Kingdom",65,2021-08-18,39,"Europe",111,1.374,1.627,1929.08
"940","United Kingdom",63,2021-08-29,41,"Europe",61,1.68,0.894,1946.425
"941","United Kingdom",61,2021-09-10,42,"Europe",147,1.986,2.155,1969.193
"942","United Kingdom",60,2021-09-24,42,"Europe",180,2.141,2.639,1998.853
"943","United Kingdom",57,2021-10-05,38,"Europe",166,1.671,2.434,2016.564
"944","United Kingdom",58,2021-10-15,41,"Europe",145,1.774,2.126,2034.861
"945","United States",7,2020-03-02,34,"North America",5,0.003,0.015,0.018
"946","United States",5,2020-03-17,41,"North America",37,0.045,0.111,0.403
"947","United States",11,2020-03-23,52,"North America",187,0.297,0.562,2.373
"948","United States",17,2020-03-30,60,"North America",707,1.498,2.124,12.856
"949","United States",29,2020-04-06,60,"North America",1733,4.395,5.206,43.624
"950","United States",49,2020-04-13,59,"North America",1978,6.494,5.941,89.083
"951","United States",58,2020-04-20,60,"North America",2245,6.661,6.743,135.707
"952","United States",63,2020-04-27,57,"North America",1480,6.072,4.446,178.214
"953","United States",68,2020-05-26,55,"North America",656,2.945,1.97,307.64
"954","United States",69,2020-06-01,54,"North America",771,2.868,2.316,325.744
"955","United States",66,2020-06-08,50,"North America",511,2.352,1.535,342.207
"956","United States",69,2020-06-15,55,"North America",401,2.102,1.205,356.923
"957","United States",71,2020-06-22,55,"North America",378,1.771,1.135,369.319
"958","United States",73,2020-07-06,58,"North America",371,1.574,1.114,391.914
"959","United States",78,2020-07-14,58,"North America",896,2.251,2.691,411.102
"960","United States",74,2020-07-20,58,"North America",529,2.413,1.589,425.304
"961","United States",77,2020-07-27,58,"North America",1100,3.048,3.304,446.642
"962","United States",75,2020-08-03,57,"North America",559,3.119,1.679,468.477
"963","United States",81,2020-08-10,63,"North America",517,3.137,1.553,490.437
"964","United States",77,2020-08-17,59,"North America",469,3.039,1.409,511.707
"965","United States",77,2020-08-25,59,"North America",1234,2.851,3.707,535.341
"966","United States",79,2020-09-01,57,"North America",1061,2.669,3.187,554.027
"967","United States",75,2020-09-08,55,"North America",468,2.193,1.406,569.376
"968","United States",77,2020-09-14,56,"North America",423,2.242,1.271,583.665
"969","United States",76,2020-09-21,58,"North America",413,2.307,1.241,599.817
"970","United States",78,2020-09-28,55,"North America",341,2.299,1.024,615.911
"971","United States",77,2020-10-06,60,"North America",701,2.114,2.106,633.42
"972","United States",79,2020-10-12,57,"North America",398,2.188,1.196,646.633
"973","United States",76,2020-10-19,57,"North America",490,2.29,1.472,662.664
"974","United States",78,2020-10-26,55,"North America",522,2.515,1.568,680.27
"975","United States",80,2020-11-02,57,"North America",557,2.619,1.673,698.602
"976","United States",81,2020-11-09,56,"North America",759,3.233,2.28,721.235
"977","United States",83,2020-11-16,59,"North America",814,3.535,2.445,745.98
"978","United States",81,2020-11-25,61,"North America",2253,5.215,6.767,793.449
"979","United States",80,2020-12-02,61,"North America",2830,5.174,8.501,829.668
"980","United States",79,2020-12-14,57,"North America",1649,7.712,4.953,916.492
"981","United States",79,2020-12-22,60,"North America",3298,8.472,9.906,984.768
"982","United States",77,2021-01-11,58,"North America",1836,9.844,5.515,1150.155
"983","United States",80,2021-01-20,57,"North America",4442,9.26,13.343,1240.229
"984","United States",79,2021-01-26,58,"North America",3982,10.094,11.961,1297.541
"985","United States",80,2021-02-03,58,"North America",3917,9.24,11.766,1374.624
"986","United States",80,2021-02-09,58,"North America",3065,8.67,9.207,1423.549
"987","United States",78,2021-02-17,53,"North America",2446,6.268,7.347,1477.662
"988","United States",74,2021-02-23,49,"North America",2276,6.104,6.837,1513.044
"989","United States",77,2021-03-01,53,"North America",1319,6.038,3.962,1548.476
"990","United States",74,2021-03-08,51,"North America",705,4.779,2.118,1581.926
"991","United States",74,2021-03-16,50,"North America",1261,3.462,3.788,1611.516
"992","United States",77,2021-03-22,51,"North America",533,3.119,1.601,1629.56
"993","United States",73,2021-03-31,48,"North America",1101,2.776,3.307,1656.443
"994","United States",74,2021-04-05,44,"North America",471,2.395,1.415,1667.122
"995","United States",72,2021-04-12,45,"North America",452,2.949,1.358,1687.764
"996","United States",69,2021-04-19,45,"North America",504,2.197,1.514,1703.143
"997","United States",72,2021-05-02,40,"North America",321,2.107,0.964,1731.412
"998","United States",70,2021-05-10,45,"North America",399,1.995,1.199,1746.797
"999","United States",67,2021-05-18,35,"North America",780,1.797,2.343,1761.476
"1000","United States",63,2021-05-24,46,"North America",438,1.671,1.316,1770.833
"1001","United States",64,2021-05-31,40,"North America",158,1.783,0.475,1783.317
"1002","United States",58,2021-06-07,38,"North America",313,1.478,0.94,1793.662
"1003","United States",57,2021-06-14,36,"North America",180,0.999,0.541,1800.654
"1004","United States",55,2021-06-22,33,"North America",351,0.933,1.054,1808.191
"1005","United States",49,2021-07-07,40,"North America",321,0.685,0.964,1819.815
"1006","United States",48,2021-07-12,37,"North America",239,0.762,0.718,1823.243
"1007","United States",48,2021-07-19,38,"North America",200,0.779,0.601,1828.695
"1008","United States",48,2021-07-26,41,"North America",265,0.844,0.796,1834.603
"1009","United States",55,2021-08-02,48,"North America",361,1.183,1.084,1842.884
"1010","United States",57,2021-08-09,46,"North America",506,1.563,1.52,1853.827
"1011","United States",58,2021-08-13,46,"North America",1056,1.965,3.172,1864.977
"1012","Vietnam",76,2020-08-03,80,"Asia",1,0.01,0.01,0.071
"1013","Vietnam",82,2020-08-17,85,"Asia",1,0.015,0.01,0.255
"1014","Vietnam",78,2020-08-31,83,"Asia",2,0.01,0.02,0.346
"1015","Vietnam",75,2020-09-14,81,"Asia",0,0,0,0.357
"1016","Vietnam",75,2020-09-28,80,"Asia",0,0,0,0.357
"1017","Vietnam",79,2020-10-12,78,"Asia",0,0,0,0.357
"1018","Vietnam",79,2020-10-26,79,"Asia",0,0,0,0.357
"1019","Vietnam",77,2020-11-09,78,"Asia",0,0,0,0.357
"1020","Vietnam",80,2020-11-23,82,"Asia",0,0,0,0.357
"1021","Vietnam",83,2020-12-07,85,"Asia",0,0,0,0.357
"1022","Vietnam",78,2020-12-21,82,"Asia",0,0,0,0.357
"1023","Vietnam",79,2021-01-04,83,"Asia",0,0,0,0.357
"1024","Vietnam",78,2021-01-18,82,"Asia",0,0,0,0.357
"1025","Vietnam",81,2021-02-01,85,"Asia",0,0,0,0.357
"1026","Vietnam",79,2021-02-15,84,"Asia",0,0,0,0.357
"1027","Vietnam",72,2021-03-01,81,"Asia",0,0,0,0.357
"1028","Vietnam",76,2021-03-15,83,"Asia",0,0,0,0.357
"1029","Vietnam",77,2021-03-29,80,"Asia",0,0,0,0.357
"1030","Vietnam",75,2021-04-13,83,"Asia",0,0,0,0.357
"1031","Vietnam",76,2021-04-26,82,"Asia",0,0,0,0.357
"1032","Vietnam",75,2021-05-10,87,"Asia",0,0,0,0.357
"1033","Vietnam",78,2021-05-24,86,"Asia",1,0.01,0.01,0.448
"1034","Vietnam",76,2021-06-07,84,"Asia",0,0.009,0,0.54
"1035","Vietnam",78,2021-06-21,87,"Asia",3,0.015,0.031,0.703
"1036","Vietnam",80,2021-07-05,88,"Asia",4,0.017,0.041,0.917
"1037","Vietnam",77,2021-07-19,85,"Asia",80,0.304,0.815,3.402
"1038","Vietnam",80,2021-07-29,88,"Asia",392,0.949,3.993,10.411
"1039","Vietnam",74,2021-08-12,90,"Asia",326,3.046,3.321,49.028
"1040","Vietnam",77,2021-08-26,89,"Asia",318,3.663,3.239,98.473
"1041","Vietnam",76,2021-09-13,86,"Asia",381,3.311,3.881,159.521
"1042","Vietnam",79,2021-09-27,84,"Asia",174,2.114,1.772,191.079
"1043","Vietnam",78,2021-10-11,87,"Asia",115,1.201,1.171,210.556
